player_id,player_name,transfers_date,transfer_fee,transfers_teams_in_id,transfers_teams_in_name,transfers_teams_out_id,transfers_teams_out_name,season_of_transfer,player_firstname,player_lastname,player_age,player_nationality,player_height,statistics_team_name,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_position,statistics_games_rating,statistics_substitutes_in,statistics_substitutes_out,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_dribbles_past,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved
7015,Álex López,2017-07-01,,538,Celta Vigo,720.0,Valladolid,2017.0,Alejandro,López Sánchez,35,Spain,177.0,Celta Vigo,2017,0.0,0.0,0.0,Midfielder,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
46790,Víctor García,2022-07-01,,720,Valladolid,544.0,Deportivo La Coruna,2022.0,Víctor,García Raja,26,Spain,180.0,Valladolid,2022,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
46790,Víctor García,2019-07-16,,720,Valladolid,544.0,Deportivo La Coruna,2019.0,Víctor,García Raja,26,Spain,180.0,Valladolid,2019,2.0,1.0,88.0,Defender,7.2,1.0,1.0,2.0,1.0,1.0,,,,22.0,3.0,68.0,,0.0,0.0,8.0,4.0,4.0,3.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
47506,Raúl Carnero,2020-08-04,,720,Valladolid,546.0,Getafe,2020.0,Raúl,García Carnero,34,Spain,180.0,Valladolid,2020,8.0,5.0,502.0,Defender,6.6375,3.0,1.0,3.0,3.0,1.0,0.0,,,187.0,5.0,17.0,10.0,1.0,9.0,83.0,42.0,9.0,6.0,,8.0,5.0,2.0,0.0,0.0,,,0.0,0.0,
47490,Pablo Hervías,2019-07-01,1.0,720,Valladolid,545.0,Eibar,2019.0,Pablo,Hervías Ruiz,30,Spain,173.0,Valladolid,2019,25.0,9.0,1009.0,Midfielder,6.708695,16.0,8.0,18.0,8.0,1.0,,,,241.0,12.0,79.0,24.0,0.0,5.0,82.0,50.0,44.0,25.0,,25.0,9.0,1.0,0.0,0.0,,,0.0,0.0,
47490,Pablo Hervías,2018-07-01,,545,Eibar,720.0,Valladolid,2018.0,Pablo,Hervías Ruiz,30,Spain,173.0,Eibar,2018,3.0,2.0,180.0,Midfielder,6.566666,1.0,1.0,4.0,1.0,0.0,,1.0,,38.0,6.0,79.0,1.0,0.0,0.0,31.0,14.0,10.0,6.0,,5.0,2.0,0.0,0.0,0.0,,,0.0,0.0,
47292,K. Kodro,2019-01-31,,531,Athletic Club,400.0,FC Copenhagen,2018.0,Kenan,Kodro,30,Bosnia and Herzegovina,190.0,Athletic Club,2018,11.0,0.0,149.0,Attacker,6.544444,11.0,0.0,4.0,1.0,1.0,,,,37.0,2.0,85.0,1.0,0.0,0.0,33.0,13.0,2.0,1.0,,2.0,5.0,0.0,0.0,0.0,,,0.0,0.0,
47565,Xabier Etxeita,2019-08-13,0.0,546,Getafe,531.0,Athletic Club,2019.0,Xabier,Etxeita Gorritxategi,36,Spain,186.0,Getafe,2019,17.0,16.0,1446.0,Defender,6.75,1.0,1.0,6.0,2.0,0.0,,,,207.0,2.0,52.0,19.0,5.0,17.0,66.0,38.0,1.0,0.0,,12.0,14.0,7.0,0.0,1.0,,,0.0,0.0,
47144,Guillermo Fernández,2016-07-01,,531,Athletic Club,537.0,Leganes,2016.0,Guillermo,Fernández Hierro,30,Spain,180.0,Athletic Club,2016,0.0,0.0,0.0,Attacker,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
119215,Íñigo Muñoz,2017-07-01,,531,Athletic Club,5263.0,Gernika,2017.0,Íñigo,Muñoz Cuevas,27,Spain,165.0,Athletic Club,2017,0.0,0.0,0.0,Midfielder,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
104853,Asier Villalibre,2017-07-01,,531,Athletic Club,717.0,Numancia,2017.0,Asier,Villalibre Molina,26,Spain,184.0,Athletic Club,2017,0.0,0.0,0.0,Attacker,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
47286,Peru Nolaskoain,2022-07-01,,531,Athletic Club,9380.0,Amorebieta,2022.0,Peru,Nolaskoain Esnal,25,Spain,186.0,Athletic Club,2022,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
47286,Peru Nolaskoain,2020-08-04,,531,Athletic Club,544.0,Deportivo La Coruna,2020.0,Peru,Nolaskoain Esnal,25,Spain,186.0,Athletic Club,2020,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
46768,Ager Aketxe,2017-07-01,,531,Athletic Club,724.0,Cadiz,2017.0,Ager,Aketxe Barrutia,30,Spain,174.0,Athletic Club,2017,3.0,0.0,34.0,Midfielder,6.45,3.0,0.0,2.0,0.0,0.0,,,,31.0,0.0,87.0,,,1.0,8.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,
125,Jokin Ezkieta,2019-07-01,,531,Athletic Club,529.0,Barcelona,2019.0,Jokin,Ezkieta Mendiburu,27,Spain,193.0,Athletic Club,2019,0.0,0.0,0.0,Goalkeeper,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
47293,Iñigo Vicente,2020-08-04,,531,Athletic Club,799.0,Mirandes,2020.0,Iñigo,Vicente Elorduy,25,Spain,178.0,Athletic Club,2020,3.0,0.0,49.0,Attacker,7.0,3.0,0.0,1.0,,0.0,0.0,,,47.0,4.0,12.0,1.0,,,5.0,4.0,4.0,3.0,,,,0.0,0.0,0.0,,,0.0,0.0,
