In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
Matheus Cunha,22,Brazil,Centre-Forward,CF,€30.00m,Hertha BSC,Germany,€30.00m,Atlético de Madrid,2021
Reinildo Mandava,28,Mozambique,Left-Back,LB,€25.00m,LOSC Lille,France,€3.00m,Atlético de Madrid,2021
Daniel Wass,32,Denmark,Right-Back,RB,€2.50m,Valencia CF,Spain,€2.70m,Atlético de Madrid,2021
Marcos Paulo,20,Portugal,Left Winger,LW,€4.00m,Fluminense Football Club,Brazil,free transfer,Atlético de Madrid,2021
Sergio Camello,20,Spain,Centre-Forward,CF,€10.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2021
Borja Garcés,21,Spain,Centre-Forward,CF,€2.20m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2021
Ferran Torres,21,Spain,Left Winger,LW,€30.00m,Manchester City,England,€55.00m,FC Barcelona,2021
Emerson Royal,22,Brazil,Right-Back,RB,€25.00m,Real Betis Balompié,Spain,€14.00m,FC Barcelona,2021
Sergio Agüero,33,Argentina,Centre-Forward,CF,-,Manchester City,England,free transfer,FC Barcelona,2021
Pierre-Emerick Aubameyang,32,Gabon,Centre-Forward,CF,€7.00m,Arsenal FC,England,free transfer,FC Barcelona,2021
Eric García,20,Spain,Centre-Back,CB,€12.00m,Manchester City,England,free transfer,FC Barcelona,2021
Memphis Depay,27,Netherlands,Centre-Forward,CF,€16.00m,Olympique Lyon,France,free transfer,FC Barcelona,2021
Álex Collado,22,Spain,Right Winger,RW,€4.00m,FC Barcelona B,Spain,-,FC Barcelona,2021
Gavi,16,Spain,Central Midfield,CM,€90.00m,FC Barcelona U19,Spain,-,FC Barcelona,2021
Nico González,19,Spain,Central Midfield,CM,€10.00m,FC Barcelona B,Spain,-,FC Barcelona,2021
Dani Alves,38,Brazil,Right-Back,RB,-,Without ClubWithout Club,Without Club,-,FC Barcelona,2021
Iñaki Peña,22,Spain,Goalkeeper,GK,€4.00m,FC Barcelona B,Spain,-,FC Barcelona,2021
Rey Manaj,24,Albania,Centre-Forward,CF,€1.20m,FC Barcelona B,Spain,-,FC Barcelona,2021
Eduardo Camavinga,18,France,Central Midfield,CM,€60.00m,Stade Rennais FC,France,€31.00m,Real Madrid,2021
David Alaba,29,Austria,Centre-Back,CB,€50.00m,Bayern Munich,Germany,free transfer,Real Madrid,2021
Víctor Chust,21,Spain,Centre-Back,CB,€3.00m,Real Madrid Castilla,Spain,-,Real Madrid,2021
Rafa Mir,24,Spain,Centre-Forward,CF,€10.00m,Wolverhampton Wanderers,England,€16.00m,Sevilla FC,2021
Gonzalo Montiel,24,Argentina,Right-Back,RB,€12.00m,CA River Plate,Argentina,€11.00m,Sevilla FC,2021
Thomas Delaney,29,Denmark,Central Midfield,CM,€3.00m,Borussia Dortmund,Germany,€6.00m,Sevilla FC,2021
Ludwig Augustinsson,27,Sweden,Left-Back,LB,€3.00m,SV Werder Bremen,Germany,€5.50m,Sevilla FC,2021
Tecatito,29,Mexico,Right Winger,RW,€10.00m,FC Porto,Portugal,€3.00m,Sevilla FC,2021
Erik Lamela,29,Argentina,Right Winger,RW,€10.00m,Tottenham Hotspur,England,free transfer,Sevilla FC,2021
Marko Dmitrović,29,Serbia,Goalkeeper,GK,€4.00m,SD Eibar,Spain,free transfer,Sevilla FC,2021
Diego Rico,28,Spain,Left-Back,LB,€3.00m,AFC Bournemouth,England,€500k,Real Sociedad,2021
Mathew Ryan,29,Australia,Goalkeeper,GK,€4.00m,Brighton & Hove Albion,England,free transfer,Real Sociedad,2021
Robert Navarro,19,Spain,Attacking Midfield,AM,€4.00m,Real Sociedad B,Spain,-,Real Sociedad,2021
Arnaut Danjuma,24,Netherlands,Left Winger,LW,€27.00m,AFC Bournemouth,England,€23.50m,Villarreal CF,2021
Juan Foyth,23,Argentina,Right-Back,RB,€25.00m,Tottenham Hotspur,England,€15.00m,Villarreal CF,2021
Boulaye Dia,24,Senegal,Centre-Forward,CF,€14.00m,Stade Reims,France,€12.00m,Villarreal CF,2021
Manu Morlanes,22,Spain,Central Midfield,CM,€4.00m,UD Almería,Spain,€4.00m,Villarreal CF,2021
Aïssa Mandi,29,Algeria,Centre-Back,CB,€4.00m,Real Betis Balompié,Spain,free transfer,Villarreal CF,2021
Serge Aurier,28,Cote d'Ivoire,Right-Back,RB,€6.00m,Without ClubWithout Club,Without Club,-,Villarreal CF,2021
Álex Millán,21,Spain,Centre-Forward,CF,€800k,Villarreal CF B,Spain,-,Villarreal CF,2021
Germán Pezzella,30,Argentina,Centre-Back,CB,€5.00m,ACF Fiorentina,Italy,€3.25m,Real Betis Balompié,2021
Juan Miranda,21,Spain,Left-Back,LB,€5.00m,FC Barcelona,Spain,free transfer,Real Betis Balompié,2021
Youssouf Sabaly,28,Senegal,Right-Back,RB,€5.00m,FC Girondins Bordeaux,France,free transfer,Real Betis Balompié,2021
Rui Silva,27,Portugal,Goalkeeper,GK,€15.00m,Granada CF,Spain,free transfer,Real Betis Balompié,2021
Rodri Sánchez,21,Spain,Attacking Midfield,AM,€8.00m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2021
Álex Petxa,24,Spain,Right-Back,RB,€600k,Real Sociedad B,Spain,free transfer,Athletic Bilbao,2021
Imanol García de Albéniz,21,Spain,Left-Back,LB,€1.20m,Bilbao Athletic,Spain,-,Athletic Bilbao,2021
Nico Williams,18,Spain,Right Winger,RW,€25.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2021
Matías Arezo,19,Uruguay,Centre-Forward,CF,€7.00m,CA River Plate Montevideo,Uruguay,€5.70m,Granada CF,2021
Luís Maximiano,22,Portugal,Goalkeeper,GK,€8.00m,Sporting CP,Portugal,€5.50m,Granada CF,2021
Myrto Uzuni,26,Albania,Left Winger,LW,€8.00m,Ferencvárosi TC,Hungary,€4.00m,Granada CF,2021
Njegos Petrovic,22,Serbia,Defensive Midfield,DM,€2.50m,Red Star Belgrade,Serbia,€1.50m,Granada CF,2021
Monchu,21,Spain,Central Midfield,CM,€5.00m,FC Barcelona,Spain,€750k,Granada CF,2021
Dani Raba,26,Spain,Right Winger,RW,€1.20m,Villarreal CF,Spain,free transfer,Granada CF,2021
Sergio Escudero,31,Spain,Left-Back,LB,€1.80m,Sevilla FC,Spain,free transfer,Granada CF,2021
Alpha Diounkou,19,Senegal,Centre-Back,CB,€300k,Manchester City U23,England,free transfer,Granada CF,2021
Carlos Bacca,34,Colombia,Centre-Forward,CF,€600k,Villarreal CF,Spain,free transfer,Granada CF,2021
Rubén Rochina,30,Spain,Right Winger,RW,€1.50m,Levante UD,Spain,free transfer,Granada CF,2021
Luis Abram,25,Peru,Centre-Back,CB,€4.00m,CA Vélez Sarsfield,Argentina,free transfer,Granada CF,2021
Ricard Sánchez,21,Spain,Right-Back,RB,€1.50m,Atlético de Madrid B,Spain,?,Granada CF,2021
Adrián Butzke,22,Spain,Centre-Forward,CF,€400k,Recreativo Granada,Spain,-,Granada CF,2021
João Costa,25,Portugal,Goalkeeper,GK,€200k,Recreativo Granada,Spain,-,Granada CF,2021
Raúl Torrente,20,Spain,Centre-Back,CB,€1.20m,Recreativo Granada,Spain,-,Granada CF,2021
Isma Ruiz,20,Spain,Central Midfield,CM,€600k,Recreativo Granada,Spain,-,Granada CF,2021
Franco Cervi,27,Argentina,Left Winger,LW,€3.00m,SL Benfica,Portugal,€5.00m,Celta de Vigo,2021
Javi Galán,26,Spain,Left-Back,LB,€12.00m,SD Huesca,Spain,€4.00m,Celta de Vigo,2021
Orbelín Pineda,25,Mexico,Central Midfield,CM,€4.00m,CD Cruz Azul,Mexico,free transfer,Celta de Vigo,2021
Sergio Carreira,20,Spain,Right-Back,RB,€1.50m,Celta Vigo B,Spain,-,Celta de Vigo,2021
José Fontán,21,Spain,Centre-Back,CB,€800k,Celta Vigo B,Spain,-,Celta de Vigo,2021
Santiago Arzamendia,23,Paraguay,Left-Back,LB,€1.50m,Club Cerro Porteño,Paraguay,€2.10m,Cádiz CF,2021
Tomás Alarcón,22,Chile,Defensive Midfield,DM,€2.00m,CD O'Higgins,Chile,€2.00m,Cádiz CF,2021
Conan Ledesma,28,Argentina,Goalkeeper,GK,€10.00m,CA Rosario Central,Argentina,€1.80m,Cádiz CF,2021
Lucas Pérez,33,Spain,Centre-Forward,CF,€2.00m,Elche CF,Spain,€200k,Cádiz CF,2021
Varazdat Haroyan,28,Armenia,Centre-Back,CB,€1.00m,FC Astana,Kazakhstan,free transfer,Cádiz CF,2021
Martín Calderón,22,Spain,Central Midfield,CM,€500k,Real Madrid Castilla,Spain,free transfer,Cádiz CF,2021
Luis Hernández,32,Spain,Centre-Back,CB,€1.00m,Maccabi Tel Aviv,Israel,free transfer,Cádiz CF,2021
Álvaro Jiménez,25,Spain,Right Winger,RW,€600k,Albacete Balompié,Spain,free transfer,Cádiz CF,2021
Milutin Osmajic,21,Montenegro,Centre-Forward,CF,€1.50m,FK Sutjeska Niksic,Montenegro,?,Cádiz CF,2021
Rubén Sobrino,29,Spain,Centre-Forward,CF,€2.00m,Valencia CF,Spain,?,Cádiz CF,2021
Landry Dimata,23,Belgium,Centre-Forward,CF,€2.00m,RSC Anderlecht,Belgium,€2.20m,RCD Espanyol Barcelona,2021
Álvaro Vadillo,26,Spain,Left Winger,LW,€600k,Celta de Vigo,Spain,€1.80m,RCD Espanyol Barcelona,2021
Sergi Gómez,29,Spain,Centre-Back,CB,€2.00m,Sevilla FC,Spain,€1.00m,RCD Espanyol Barcelona,2021
Miguel Llambrich,25,Spain,Right-Back,RB,€600k,Villarreal CF,Spain,€500k,RCD Espanyol Barcelona,2021
Aleix Vidal,31,Spain,Right Winger,RW,€1.80m,Sevilla FC,Spain,free transfer,RCD Espanyol Barcelona,2021
Joan García,20,Spain,Goalkeeper,GK,€400k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2021
Ante Budimir,29,Croatia,Centre-Forward,CF,€6.00m,RCD Mallorca,Spain,€8.00m,CA Osasuna,2021
Jonás Ramalho,28,Angola,Centre-Back,CB,€600k,Girona FC,Spain,€700k,CA Osasuna,2021
Kike García,31,Spain,Centre-Forward,CF,€1.80m,SD Eibar,Spain,free transfer,CA Osasuna,2021
Jesús Areso,21,Spain,Right-Back,RB,€800k,Bilbao Athletic,Spain,free transfer,CA Osasuna,2021
Cote,31,Spain,Left-Back,LB,€1.50m,SD Eibar,Spain,free transfer,CA Osasuna,2021
Javi Martínez,21,Spain,Attacking Midfield,AM,€1.00m,CA Osasuna Promesas,Spain,-,CA Osasuna,2021
Kike Saverio,22,Ecuador,Left Winger,LW,€200k,CA Osasuna Promesas,Spain,-,CA Osasuna,2021
Roberto Soldado,36,Spain,Centre-Forward,CF,€800k,Granada CF,Spain,€500k,Levante UD,2021
Enric Franquesa,24,Spain,Left-Back,LB,€800k,Villarreal CF,Spain,€375k,Levante UD,2021
Roger Brugué,24,Spain,Right Winger,RW,€800k,Gimnàstic de Tarragona,Spain,free transfer,Levante UD,2021
Martín Cáceres,34,Uruguay,Centre-Back,CB,€500k,Cagliari Calcio,Italy,free transfer,Levante UD,2021
Shkodran Mustafi,29,Germany,Centre-Back,CB,€1.50m,Without ClubWithout Club,Without Club,-,Levante UD,2021
Álex Blesa,19,Spain,Attacking Midfield,AM,€300k,Atlético Levante UD,Spain,-,Levante UD,2021
Alejandro Cantero,21,Spain,Left Winger,LW,€1.00m,Atlético Levante UD,Spain,-,Levante UD,2021
Marcelo Saracchi,23,Uruguay,Left-Back,LB,€2.00m,Without ClubWithout Club,Without Club,-,Levante UD,2021
Marcos André,24,Brazil,Centre-Forward,CF,€3.00m,Real Valladolid CF,Spain,€8.50m,Valencia CF,2021
Dimitri Foulquier,28,Guadeloupe,Right-Back,RB,€3.00m,Granada CF,Spain,€2.50m,Valencia CF,2021
Giorgi Mamardashvili,21,Georgia,Goalkeeper,GK,€25.00m,Dinamo Tbilisi,Georgia,€850k,Valencia CF,2021
Eray Cömert,23,Switzerland,Centre-Back,CB,€4.00m,FC Basel 1893,Switzerland,€800k,Valencia CF,2021
Koba Koindredi,20,Neukaledonien,Central Midfield,CM,€1.00m,Valencia Mestalla,Spain,-,Valencia CF,2021
Jesús Vázquez,18,Spain,Left-Back,LB,€5.00m,Valencia Mestalla,Spain,-,Valencia CF,2021
Jakub Jankto,25,Czech Republic,Left Midfield,LM,€2.50m,UC Sampdoria,Italy,€6.00m,Getafe CF,2021
Carles Aleñá,23,Spain,Central Midfield,CM,€10.00m,FC Barcelona,Spain,€5.00m,Getafe CF,2021
Jonathan Silva,27,Argentina,Left-Back,LB,€1.00m,CD Leganés,Spain,€2.50m,Getafe CF,2021
Stefan Mitrovic,31,Serbia,Centre-Back,CB,€2.00m,RC Strasbourg Alsace,France,€1.00m,Getafe CF,2021
Darío Poveda,24,Spain,Centre-Forward,CF,€600k,Atlético de Madrid B,Spain,free transfer,Getafe CF,2021
Diego Conde,22,Spain,Goalkeeper,GK,€300k,Atlético de Madrid B,Spain,free transfer,Getafe CF,2021
Juan Iglesias,22,Spain,Right-Back,RB,€3.50m,Getafe CF B,Spain,-,Getafe CF,2021
Miguel Rubio,23,Spain,Centre-Back,CB,€1.00m,Getafe CF B,Spain,-,Getafe CF,2021
Mamadou Sylla,27,Senegal,Centre-Forward,CF,€1.00m,Girona FC,Spain,€1.15m,Deportivo Alavés,2021
Miguel de la Fuente,21,Spain,Centre-Forward,CF,€2.00m,Real Valladolid Promesas,Spain,free transfer,Deportivo Alavés,2021
Taichi Hara,22,Japan,Centre-Forward,CF,€1.00m,NK Istra 1961,Croatia,free transfer,Deportivo Alavés,2021
Toni Moya,23,Spain,Central Midfield,CM,€1.50m,Atlético de Madrid B,Spain,free transfer,Deportivo Alavés,2021
Jason,27,Spain,Right Winger,RW,€2.00m,Valencia CF,Spain,free transfer,Deportivo Alavés,2021
Florian Lejeune,30,France,Centre-Back,CB,€4.00m,Newcastle United,England,?,Deportivo Alavés,2021
Iván Marcone,31,Argentina,Defensive Midfield,DM,€1.50m,CA Boca Juniors,Argentina,€4.00m,Elche CF,2021
Lucas Boyé,25,Argentina,Centre-Forward,CF,€6.00m,Torino FC,Italy,€3.00m,Elche CF,2021
Johan Mojica,28,Colombia,Left-Back,LB,€5.00m,Girona FC,Spain,€1.20m,Elche CF,2021
Enzo Roco,28,Chile,Centre-Back,CB,€1.80m,Fatih Karagümrük,Turkey,free transfer,Elche CF,2021
Gerard Gumbau,26,Spain,Defensive Midfield,DM,€3.00m,Girona FC,Spain,free transfer,Elche CF,2021
Lucas Pérez,32,Spain,Centre-Forward,CF,€2.00m,Deportivo Alavés,Spain,free transfer,Elche CF,2021
Omar Mascarell,28,Spain,Defensive Midfield,DM,€3.50m,FC Schalke 04,Germany,free transfer,Elche CF,2021
Pedro Bigas,31,Spain,Centre-Back,CB,€1.00m,SD Eibar,Spain,free transfer,Elche CF,2021
Axel Werner,25,Argentina,Goalkeeper,GK,€800k,Without ClubWithout Club,Without Club,-,Elche CF,2021
Javier Pastore,32,Argentina,Attacking Midfield,AM,€800k,Without ClubWithout Club,Without Club,-,Elche CF,2021
José Salinas,20,Spain,Left-Back,LB,€1.00m,Elche Ilicitano,Spain,-,Elche CF,2021
Matthew Hoppe,20,United States,Centre-Forward,CF,€1.50m,FC Schalke 04,Germany,€3.50m,RCD Mallorca,2021
Amath Ndiaye,24,Senegal,Left Winger,LW,€2.00m,Getafe CF,Spain,€3.00m,RCD Mallorca,2021
Dominik Greif,24,Slovakia,Goalkeeper,GK,€1.50m,Slovan Bratislava,Slovakia,€2.50m,RCD Mallorca,2021
Giovanni González,27,Uruguay,Right-Back,RB,€2.00m,CA Peñarol,Uruguay,free transfer,RCD Mallorca,2021
Kang-in Lee,20,"Korea, South",Attacking Midfield,AM,€15.00m,Valencia CF,Spain,free transfer,RCD Mallorca,2021
Jaume Costa,33,Spain,Left-Back,LB,€1.20m,Villarreal CF,Spain,free transfer,RCD Mallorca,2021
Ángel Rodríguez,34,Spain,Centre-Forward,CF,€1.00m,Getafe CF,Spain,free transfer,RCD Mallorca,2021
Clément Grenier,31,France,Central Midfield,CM,€900k,Without ClubWithout Club,Without Club,-,RCD Mallorca,2021
Fran García,21,Spain,Left-Back,LB,€10.00m,Real Madrid Castilla,Spain,€2.00m,Rayo Vallecano,2021
Randy Nteka,23,France,Attacking Midfield,AM,€2.00m,CF Fuenlabrada,Spain,€1.30m,Rayo Vallecano,2021
Pathé Ciss,27,Senegal,Central Midfield,CM,€4.00m,CF Fuenlabrada,Spain,€1.00m,Rayo Vallecano,2021
Iván Balliu,29,Albania,Right-Back,RB,€4.00m,UD Almería,Spain,free transfer,Rayo Vallecano,2021
Radamel Falcao,35,Colombia,Centre-Forward,CF,€2.00m,Galatasaray,Turkey,free transfer,Rayo Vallecano,2021
Iván Arboleda,25,Colombia,Goalkeeper,GK,€1.20m,Without ClubWithout Club,Without Club,-,Rayo Vallecano,2021
Jorge Moreno,19,Spain,Centre-Back,CB,€500k,Rayo Vallecano B,Spain,-,Rayo Vallecano,2021
Aurélien Tchouaméni,22,France,Defensive Midfield,DM,€90.00m,AS Monaco,France,€80.00m,Real Madrid,2022
Antonio Rüdiger,29,Germany,Centre-Back,CB,€40.00m,Chelsea FC,England,free transfer,Real Madrid,2022
Miguel Gutiérrez,20,Spain,Left-Back,LB,€9.00m,Real Madrid Castilla,Spain,-,Real Madrid,2022
Antonio Blanco,21,Spain,Defensive Midfield,DM,€3.50m,Real Madrid Castilla,Spain,-,Real Madrid,2022
Raphinha,25,Brazil,Right Winger,RW,€50.00m,Leeds United,England,€58.00m,FC Barcelona,2022
Jules Koundé,23,France,Centre-Back,CB,€60.00m,Sevilla FC,Spain,€50.00m,FC Barcelona,2022
Robert Lewandowski,33,Poland,Centre-Forward,CF,€40.00m,Bayern Munich,Germany,€45.00m,FC Barcelona,2022
Pablo Torre,19,Spain,Central Midfield,CM,€3.00m,Racing Santander,Spain,€5.00m,FC Barcelona,2022
Héctor Bellerín,27,Spain,Right-Back,RB,€8.00m,Arsenal FC,England,free transfer,FC Barcelona,2022
Marcos Alonso,31,Spain,Left-Back,LB,€7.00m,Chelsea FC,England,free transfer,FC Barcelona,2022
Andreas Christensen,26,Denmark,Centre-Back,CB,€30.00m,Chelsea FC,England,free transfer,FC Barcelona,2022
Franck Kessié,25,Cote d'Ivoire,Central Midfield,CM,€28.00m,AC Milan,Italy,free transfer,FC Barcelona,2022
Alejandro Balde,18,Spain,Left-Back,LB,€30.00m,FC Barcelona Atlètic,Spain,-,FC Barcelona,2022
Abde Ezzalzouli,20,Morocco,Left Winger,LW,€8.00m,FC Barcelona Atlètic,Spain,-,FC Barcelona,2022
Tanguy Nianzou,20,France,Centre-Back,CB,€9.00m,Bayern Munich,Germany,€16.00m,Sevilla FC,2022
Marcão,26,Brazil,Centre-Back,CB,€10.00m,Galatasaray,Turkey,€12.00m,Sevilla FC,2022
Adnan Januzaj,27,Belgium,Right Winger,RW,€7.00m,Real Sociedad,Spain,free transfer,Sevilla FC,2022
Isco,30,Spain,Attacking Midfield,AM,€5.00m,Real Madrid,Spain,free transfer,Sevilla FC,2022
Iván Romero,21,Spain,Centre-Forward,CF,€800k,Sevilla Atlético,Spain,-,Sevilla FC,2022
José Ángel Carmona,20,Spain,Right-Back,RB,€4.00m,Sevilla Atlético,Spain,-,Sevilla FC,2022
Kike Salas,20,Spain,Centre-Back,CB,€1.50m,Sevilla Atlético,Spain,-,Sevilla FC,2022
Nahuel Molina,24,Argentina,Right-Back,RB,€24.00m,Udinese Calcio,Italy,€20.00m,Atlético de Madrid,2022
Samuel Lino,22,Brazil,Left Winger,LW,€16.00m,Gil Vicente FC,Portugal,€6.50m,Atlético de Madrid,2022
Memphis Depay,28,Netherlands,Centre-Forward,CF,€16.00m,FC Barcelona,Spain,€3.00m,Atlético de Madrid,2022
Axel Witsel,33,Belgium,Defensive Midfield,DM,€5.00m,Borussia Dortmund,Germany,free transfer,Atlético de Madrid,2022
Matt Doherty,31,Ireland,Right-Back,RB,€9.00m,Tottenham Hotspur,England,free transfer,Atlético de Madrid,2022
Giuliano Simeone,19,Argentina,Centre-Forward,CF,€2.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2022
Pablo Barrios,19,Spain,Central Midfield,CM,€5.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2022
Umar Sadiq,25,Nigeria,Centre-Forward,CF,€18.00m,UD Almería,Spain,€20.00m,Real Sociedad,2022
Brais Méndez,25,Spain,Attacking Midfield,AM,€30.00m,Celta de Vigo,Spain,€14.00m,Real Sociedad,2022
Momo Cho,18,France,Centre-Forward,CF,€15.00m,Angers SCO,France,€11.00m,Real Sociedad,2022
Takefusa Kubo,21,Japan,Right Winger,RW,€15.00m,Real Madrid,Spain,€6.50m,Real Sociedad,2022
Andoni Zubiaurre,25,Spain,Goalkeeper,GK,€300k,Real Sociedad B,Spain,-,Real Sociedad,2022
Álex Sola,23,Spain,Right-Back,RB,€3.00m,Real Sociedad B,Spain,-,Real Sociedad,2022
Jon Pacheco,21,Spain,Centre-Back,CB,€6.00m,Real Sociedad B,Spain,-,Real Sociedad,2022
Beñat Turrientes,20,Spain,Central Midfield,CM,€2.00m,Real Sociedad B,Spain,-,Real Sociedad,2022
Robert Navarro,20,Spain,Attacking Midfield,AM,€4.00m,Real Sociedad B,Spain,-,Real Sociedad,2022
Peter Pokorny,20,Slovakia,Defensive Midfield,DM,€800k,Real Sociedad B,Spain,-,Real Sociedad,2022
Roberto López,22,Spain,Attacking Midfield,AM,€2.50m,Real Sociedad B,Spain,-,Real Sociedad,2022
Jon Karrikaburu,19,Spain,Centre-Forward,CF,€5.00m,Real Sociedad B,Spain,-,Real Sociedad,2022
Willian José,30,Brazil,Centre-Forward,CF,€7.00m,Real Sociedad,Spain,€10.00m,Real Betis Balompié,2022
Luiz Henrique,21,Brazil,Right Winger,RW,€15.00m,Fluminense Football Club,Brazil,€8.00m,Real Betis Balompié,2022
Abner,22,Brazil,Left-Back,LB,€8.00m,Club Athletico Paranaense,Brazil,€7.00m,Real Betis Balompié,2022
Luiz Felipe,25,Italy,Centre-Back,CB,€15.00m,SS Lazio,Italy,free transfer,Real Betis Balompié,2022
Raúl García,21,Spain,Centre-Forward,CF,€2.00m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2022
Johan Mojica,30,Colombia,Left-Back,LB,€5.00m,Elche CF,Spain,€5.50m,Villarreal CF,2022
Kiko Femenía,31,Spain,Right-Back,RB,€2.50m,Watford FC,England,€980k,Villarreal CF,2022
Pepe Reina,39,Spain,Goalkeeper,GK,€700k,SS Lazio,Italy,free transfer,Villarreal CF,2022
José Luis Morales,34,Spain,Centre-Forward,CF,€4.00m,Levante UD,Spain,free transfer,Villarreal CF,2022
Nicolas Jackson,21,Senegal,Centre-Forward,CF,€15.00m,Villarreal CF B,Spain,-,Villarreal CF,2022
Filip Jörgensen,20,Denmark,Goalkeeper,GK,€1.50m,Villarreal CF B,Spain,-,Villarreal CF,2022
Gorka Guruzeta,25,Spain,Centre-Forward,CF,€2.00m,SD Amorebieta,Spain,free transfer,Athletic Bilbao,2022
Ander Herrera,33,Spain,Central Midfield,CM,€3.00m,Paris Saint-Germain,France,free transfer,Athletic Bilbao,2022
Juan Artola,22,Spain,Right Winger,RW,€700k,Bilbao Athletic,Spain,-,Athletic Bilbao,2022
Nico Serrano,19,Spain,Left Winger,LW,€1.50m,Bilbao Athletic,Spain,-,Athletic Bilbao,2022
Julen Agirrezabala,21,Spain,Goalkeeper,GK,€5.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2022
Beñat Prados,21,Spain,Central Midfield,CM,€500k,Bilbao Athletic,Spain,-,Athletic Bilbao,2022
Ander Iru,23,Spain,Goalkeeper,GK,€100k,Bilbao Athletic,Spain,-,Athletic Bilbao,2022
Aitor Paredes,22,Spain,Centre-Back,CB,€400k,Bilbao Athletic,Spain,-,Athletic Bilbao,2022
André Almeida,22,Portugal,Central Midfield,CM,€15.00m,Vitória Guimarães SC,Portugal,€8.00m,Valencia CF,2022
Hugo Duro,22,Spain,Centre-Forward,CF,€5.00m,Getafe CF,Spain,€4.00m,Valencia CF,2022
Samu Castillejo,27,Spain,Right Winger,RW,€8.00m,AC Milan,Italy,free transfer,Valencia CF,2022
Edinson Cavani,35,Uruguay,Centre-Forward,CF,€4.00m,Manchester United,England,free transfer,Valencia CF,2022
Iago Herrerín,34,Spain,Goalkeeper,GK,€500k,Without ClubWithout Club,Without Club,-,Valencia CF,2022
Moi Gómez,28,Spain,Left Winger,LW,€10.00m,Villarreal CF,Spain,€1.80m,CA Osasuna,2022
Rubén Peña,30,Spain,Right-Back,RB,€2.50m,Villarreal CF,Spain,free transfer,CA Osasuna,2022
Aitor Fernández,31,Spain,Goalkeeper,GK,€3.00m,Levante UD,Spain,free transfer,CA Osasuna,2022
Pablo Ibáñez,23,Spain,Central Midfield,CM,€1.00m,CA Osasuna Promesas,Spain,-,CA Osasuna,2022
Aimar Oroz,20,Spain,Attacking Midfield,AM,€6.00m,CA Osasuna Promesas,Spain,-,CA Osasuna,2022
Ezequiel Ponce,25,Argentina,Centre-Forward,CF,€3.00m,Spartak Moscow,Russia,€4.00m,Elche CF,2022
Nicolás Fernández Mercau,22,Argentina,Left-Back,LB,€2.00m,CA San Lorenzo de Almagro,Argentina,€4.00m,Elche CF,2022
Roger Martí,31,Spain,Centre-Forward,CF,€2.50m,Levante UD,Spain,€3.00m,Elche CF,2022
Lautaro Blanco,23,Argentina,Left-Back,LB,€3.50m,CA Rosario Central,Argentina,€1.96m,Elche CF,2022
Carlos Clerc,30,Spain,Left-Back,LB,€1.80m,Levante UD,Spain,free transfer,Elche CF,2022
Federico Fernández,33,Argentina,Centre-Back,CB,€1.00m,Newcastle United,England,free transfer,Elche CF,2022
Lisandro Magallán,29,Argentina,Centre-Back,CB,€2.00m,Ajax Amsterdam,Netherlands,free transfer,Elche CF,2022
Pape Cheikh,25,Senegal,Central Midfield,CM,€1.50m,Without ClubWithout Club,Without Club,-,Elche CF,2022
John Donald,21,Spain,Centre-Back,CB,€400k,Elche Ilicitano,Spain,-,Elche CF,2022
Jörgen Strand Larsen,22,Norway,Centre-Forward,CF,€11.00m,FC Groningen,Netherlands,€12.40m,Celta de Vigo,2022
Williot Swedberg,18,Sweden,Attacking Midfield,AM,€4.00m,Hammarby IF,Sweden,€5.50m,Celta de Vigo,2022
Luca de la Torre,24,United States,Central Midfield,CM,€3.00m,Heracles Almelo,Netherlands,€1.40m,Celta de Vigo,2022
Agustín Marchesín,34,Argentina,Goalkeeper,GK,€3.00m,FC Porto,Portugal,€1.05m,Celta de Vigo,2022
Julen Lobete,21,Spain,Centre-Forward,CF,€1.70m,Real Sociedad B,Spain,€1.00m,Celta de Vigo,2022
Óscar Mingueza,23,Spain,Centre-Back,CB,€3.00m,FC Barcelona,Spain,free transfer,Celta de Vigo,2022
Diego Alves,37,Brazil,Goalkeeper,GK,€300k,Without ClubWithout Club,Without Club,free transfer,Celta de Vigo,2022
Gonçalo Paciência,28,Portugal,Centre-Forward,CF,€2.50m,Eintracht Frankfurt,Germany,?,Celta de Vigo,2022
Alfon González,23,Spain,Left Winger,LW,€300k,Celta Vigo B,Spain,-,Celta de Vigo,2022
Gabri Veiga,20,Spain,Attacking Midfield,AM,€30.00m,Celta Vigo B,Spain,-,Celta de Vigo,2022
César Montes,25,Mexico,Centre-Back,CB,€8.00m,CF Monterrey,Mexico,€8.00m,RCD Espanyol Barcelona,2022
Edu Expósito,26,Spain,Central Midfield,CM,€6.00m,SD Eibar,Spain,€4.50m,RCD Espanyol Barcelona,2022
