In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
Fede Vico,24,Spain,Attacking Midfield,AM,€2.00m,CD Lugo,Spain,free transfer,CD Leganés,2018
Dani Ojeda,23,Spain,Left Winger,LW,€900k,Lorca FC,Spain,free transfer,CD Leganés,2018
William de Camargo,19,Brazil,Right Winger,RW,€250k,CD Leganés B,Spain,-,CD Leganés,2018
John Guidetti,26,Sweden,Centre-Forward,CF,€1.20m,Celta de Vigo,Spain,€4.00m,Deportivo Alavés,2018
Patrick Twumasi,24,Ghana,Right Winger,RW,€800k,FC Astana,Kazakhstan,€3.00m,Deportivo Alavés,2018
Tomás Pina,30,Spain,Central Midfield,CM,€400k,Club Brugge KV,Belgium,€1.50m,Deportivo Alavés,2018
Ximo Navarro,28,Spain,Right-Back,RB,€700k,UD Las Palmas,Spain,€1.50m,Deportivo Alavés,2018
Rafa Navarro,24,Spain,Right-Back,RB,€150k,Real Betis Balompié,Spain,free transfer,Deportivo Alavés,2018
Javi Muñoz,23,Spain,Central Midfield,CM,€1.00m,Real Madrid Castilla,Spain,free transfer,Deportivo Alavés,2018
Adrián Marín,21,Spain,Left-Back,LB,€1.50m,Villarreal CF,Spain,free transfer,Deportivo Alavés,2018
Martín Aguirregabiria,22,Spain,Right-Back,RB,€2.00m,Deportivo Alavés B,Spain,-,Deportivo Alavés,2018
Ermedin Demirovic,20,Bosnia-Herzegovina,Centre-Forward,CF,€12.00m,Deportivo Alavés B,Spain,-,Deportivo Alavés,2018
Adrián Diéguez,22,Spain,Centre-Back,CB,€600k,Deportivo Alavés B,Spain,-,Deportivo Alavés,2018
Malcom,21,Brazil,Right Winger,RW,€27.00m,FC Girondins Bordeaux,France,€41.00m,FC Barcelona,2018
Clément Lenglet,23,France,Centre-Back,CB,€12.00m,Sevilla FC,Spain,€35.90m,FC Barcelona,2018
Arthur Melo,21,Brazil,Central Midfield,CM,€15.00m,Grêmio Foot-Ball Porto Alegrense,Brazil,€31.00m,FC Barcelona,2018
Arturo Vidal,31,Chile,Central Midfield,CM,€1.20m,Bayern Munich,Germany,€18.00m,FC Barcelona,2018
Emerson Royal,20,Brazil,Right-Back,RB,€25.00m,Clube Atlético Mineiro,Brazil,€12.00m,FC Barcelona,2018
Jean-Clair Todibo,19,France,Centre-Back,CB,€30.00m,FC Toulouse,France,€1.00m,FC Barcelona,2018
Adrián Ortolá,24,Spain,Goalkeeper,GK,€200k,FC Barcelona B,Spain,-,FC Barcelona,2018
Carles Aleñá,20,Spain,Central Midfield,CM,€10.00m,FC Barcelona B,Spain,-,FC Barcelona,2018
Marc Cucurella,19,Spain,Left-Back,LB,€40.00m,FC Barcelona B,Spain,-,FC Barcelona,2018
Marc Cardona,22,Spain,Centre-Forward,CF,€1.00m,FC Barcelona B,Spain,-,FC Barcelona,2018
Sergi Palencia,22,Spain,Right-Back,RB,€2.00m,FC Barcelona B,Spain,-,FC Barcelona,2018
Nemanja Maksimovic,23,Serbia,Central Midfield,CM,€8.00m,Valencia CF,Spain,€10.00m,Getafe CF,2018
Ignasi Miquel,25,Spain,Centre-Back,CB,€1.20m,Málaga CF,Spain,€5.00m,Getafe CF,2018
Iván Alejo,23,Spain,Right Winger,RW,€1.20m,SD Eibar,Spain,€4.00m,Getafe CF,2018
David Soria,25,Spain,Goalkeeper,GK,€10.00m,Sevilla FC,Spain,€3.00m,Getafe CF,2018
Antunes,31,Portugal,Left-Back,LB,€200k,Dynamo Kyiv,Ukraine,€2.50m,Getafe CF,2018
Mauro Arambarri,22,Uruguay,Central Midfield,CM,€13.00m,CA Boston River,Uruguay,€2.15m,Getafe CF,2018
Leandro Cabrera,27,Uruguay,Centre-Back,CB,€3.50m,FC Crotone,Italy,€600k,Getafe CF,2018
José Carlos Lazo,22,Spain,Left Winger,LW,€2.50m,Real Madrid Castilla,Spain,free transfer,Getafe CF,2018
Oswaldo Alanís,29,Mexico,Centre-Back,CB,€800k,Deportivo Guadalajara,Mexico,free transfer,Getafe CF,2018
Ayoub Abou,20,Morocco,Central Midfield,CM,€175k,CF Rayo Majadahonda,Spain,free transfer,Getafe CF,2018
Jaime Mata,29,Spain,Centre-Forward,CF,€1.50m,Real Valladolid CF,Spain,free transfer,Getafe CF,2018
Leandro Chichizola,28,Argentina,Goalkeeper,GK,€600k,UD Las Palmas,Spain,free transfer,Getafe CF,2018
Markel Bergara,32,Spain,Defensive Midfield,DM,-,Real Sociedad,Spain,free transfer,Getafe CF,2018
Merveil Ndockyt,19,Congo,Left Winger,LW,€100k,Getafe CF B,Spain,-,Getafe CF,2018
Mathieu Flamini,34,France,Defensive Midfield,DM,-,Without ClubWithout Club,Without Club,-,Getafe CF,2018
Marc Muniesa,26,Spain,Centre-Back,CB,€1.00m,Stoke City,England,€5.00m,Girona FC,2018
